AvgSpotLen	BioSample	BioSampleModel	Center_Name	Coriell_panel	Coriell_plate	DATASTORE_filetype	DNA_ID	Ethnicity	Experiment	HapMap_sample_ID	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Platform	Population_Description	Race	ReleaseDate	Run	SRA_Sample	Sample_Name	Super_Population_Code	Super_Population_Description	actual_read_length	cell_line	cell_type	collection	culture_collection	family_id	family_role	notes	population	run	run_center	sex	tag	Assay_Type	AssemblyName	BioProject	Consent	DATASTORE_provider	LibrarySource	Organism	SRA_Study
556	SAMN00001676	HapMap	WUGSC	MGP00013	HAPMAPPT03	sra	NA19143		SRX002029	NA19143	0	454 GS FLX	SINGLE	RANDOM	2649556185	2012-01-19	375	818	LS454	Yoruba in Ibadan, Nigeria		2009-01-29	SRR013219	SRS000194	NA19143	AFR	African					Coriell:GM19143	Y074			YRI			female		WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
563	SAMN00001676	HapMap	WUGSC	MGP00013	HAPMAPPT03	sra	NA19143		SRX002029	NA19143	0	454 GS FLX	SINGLE	RANDOM	2649556185	2012-01-19	306	678	LS454	Yoruba in Ibadan, Nigeria		2009-02-12	SRR013229	SRS000194	NA19143	AFR	African					Coriell:GM19143	Y074			YRI			female		WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
560	SAMN00001676	HapMap	WUGSC	MGP00013	HAPMAPPT03	sra	NA19143		SRX002029	NA19143	0	454 GS FLX	SINGLE	RANDOM	2649556185	2012-01-19	341	751	LS454	Yoruba in Ibadan, Nigeria		2009-02-10	SRR013230	SRS000194	NA19143	AFR	African					Coriell:GM19143	Y074			YRI			female		WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
592	SAMN00001676	HapMap	WUGSC	MGP00013	HAPMAPPT03	sra	NA19143		SRX002030	NA19143	0	unspecified	SINGLE	RANDOM	2485447780	2012-01-19	320	693	LS454	Yoruba in Ibadan, Nigeria		2009-01-29	SRR013231	SRS000194	NA19143	AFR	African					Coriell:GM19143	Y074			YRI			female		WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
579	SAMN00801317		WUGSC		HAPMAPPT01	sra	NA12249	UTAH/MORMON	SRX002031	NA12249	0	unspecified	SINGLE	RANDOM	2485447535	2012-01-19	354	764	LS454	Utah Residents (CEPH) with Northern and Western European ancestry	Caucasian	2009-01-29	SRR013228	SRS000068	NA12249	EUR	European		GM12249	B-Lymphocyte	NIGMS Human Genetic Cell Repository	Coriell:GM12249	1416	paternal grandmother		CEU			female	International hapmap project - ceph (plate i) utah residents with ancestry from northern and western europe	WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
579	SAMN00801317		WUGSC		HAPMAPPT01	sra	NA12249	UTAH/MORMON	SRX002031	NA12249	0	unspecified	SINGLE	RANDOM	2485447535	2012-01-19	272	590	LS454	Utah Residents (CEPH) with Northern and Western European ancestry	Caucasian	2009-02-12	SRR013226	SRS000068	NA12249	EUR	European		GM12249	B-Lymphocyte	NIGMS Human Genetic Cell Repository	Coriell:GM12249	1416	paternal grandmother		CEU			female	International hapmap project - ceph (plate i) utah residents with ancestry from northern and western europe	WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
580	SAMN00001675	HapMap	WUGSC	MGP00013	HAPMAPPT03	sra	NA19141		SRX002032	NA19141	0	unspecified	SINGLE	RANDOM	2485447854	2012-01-19	317	691	LS454	Yoruba in Ibadan, Nigeria		2009-01-30	SRR013247	SRS000193	NA19141	AFR	African					Coriell:GM19141	Y071			YRI			male		WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
583	SAMN00001653	HapMap	WUGSC	MGP00009	HAPMAPPT02	sra	NA18970		SRX002033	NA18970	0	unspecified	SINGLE	RANDOM	2485447652	2012-01-19	287	626	LS454	Japanese in Tokyo, Japan		2009-01-30	SRR013248	SRS000171	NA18970	EAS	East Asian					Coriell:GM18970				JPT			male		WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
592	SAMN00001653	HapMap	WUGSC	MGP00009	HAPMAPPT02	sra	NA18970		SRX002033	NA18970	0	unspecified	SINGLE	RANDOM	2485447652	2012-01-19	267	579	LS454	Japanese in Tokyo, Japan		2009-01-30	SRR013249	SRS000171	NA18970	EAS	East Asian					Coriell:GM18970				JPT			male		WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
582	SAMN00001653	HapMap	WUGSC	MGP00009	HAPMAPPT02	sra	NA18970		SRX002033	NA18970	0	unspecified	SINGLE	RANDOM	2485447652	2012-01-19	329	713	LS454	Japanese in Tokyo, Japan		2009-01-29	SRR013234	SRS000171	NA18970	EAS	East Asian					Coriell:GM18970				JPT			male		WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
