accession;standard_name;ecological;goegraphical;clades;gbases
ERR1308614.fastq;ABR;soil;finland;eu;2.638
ERR1309319.fastq;BNV;soil;turku_finland;eu;3.471
ERR1309153.fastq;BPB;wine;i_italy;eu;5.078
ERR1309309.fastq;BPT;wine;r_italy;eu;3.649
ERR1309425.fastq;BLT;wine;slovenia;eu;4.766
ERR1308681.fastq;BNL;soil;sweden;eu;3.346
ERR1309094.fastq;ABE;clinical;unknown;eu;3.034
ERR1308592.fastq;ASG;clinical;italy;eu;3.564
ERR1308770.fastq;AHR;clinical;romania;eu;3.63
ERR1309039.fastq;ALG;fruit;equador;mosair3;3.124
ERR1309405.fastq;CEN;fruit;unknown;mosair3;3.164
ERR1309481.fastq;AHA;fruit;costarica;mosair3;3.011
ERR1309373.fastq;CHS;clinical;france;mosair3;3.734
ERR1308919.fastq;CHT;clinical;france;mosair3;4.202
ERR1309216.fastq;ABD;clinical;USA;mosair3;2.872
ERR1309331.fastq;CDC;tree;russia1;mosair3;3.342
ERR1308950.fastq;CDD;tree;russia1;mosair3;3.147
ERR1308715.fastq;CDE;tree;russia2;mosair3;2.915
ERR1308915.fastq;ACD;tree;USA;NAoak;2.855
ERR1309458.fastq;ANC;tree;USA;NAoak;3.232
ERR1309162.fastq;ANK;tree;USA;NAoak;3.111
ERR1309496.fastq;AVI;soil;USA;NAoak;2.535
ERR1308955.fastq;ANF;soil;USA;NAoak;2.634
ERR1308936.fastq;ANG;soil;USA;NAoak;3.069
ERR1309521.fastq;AFH;distillery;unknown;asiaferm;7.704
ERR1309160.fastq;AEP;distillery;unknown;asiaferm;5.198
ERR1308745.fastq;CEV;distillery;china;asiaferm;9.284
ERR1309087.fastq;CGN;fermentation;saig_southvi;asiaferm;3.143
ERR1308911.fastq;BEH;fermentation;taiwan;asiaferm;3.313
ERR1308607.fastq;ACM;fermentation;indonesia;asiaferm;3.169
ERR1308872.fastq;BHR;fermentation;laos;asiaferm;3.256
ERR1309199.fastq;BHS;fermentation;laos;asiaferm;2.714
ERR1308868.fastq;BEF;fermentation;china;asiaferm;3.442
ERR1309167.fastq;CEK;fermentation;tailand;asiaferm;3.675
ERR1308750.fastq;CEL;fermentation;tailand;asiaferm;4.253
ERR1308893.fastq;ACK;palmwine;ivorycoast;asiaferm;3.21
ERR1309305.fastq;ABM;industrial;spain;alpechin;2.92
ERR1308934.fastq;AHM;industrial;spain;alpechin;3.43
ERR1309511.fastq;AQA;industrial;spain;alpechin;3.404
ERR1309262.fastq;AQD;industrial;spain;alpechin;3.385
ERR1309464.fastq;ATQ;industrial;spain;alpechin;3.541
ERR1309434.fastq;CGD;fruit;UCD;alpechin;2.889
ERR1308720.fastq;CGE;fruit;UCD;alpechin;2.946
ERR1309135.fastq;AID;human;unknow;alpechin;2.994
ERR1308671.fastq;AIE;human;portugal;alpechin;3.012
ERR1309227.fastq;ALT;flower;zslovakia;eu_sub1;3.564
ERR1308931.fastq;BBK;flower;zslovakia;eu_sub1;4.14
ERR1309003.fastq;ALS;flower;lslovakia;eu_sub1;3.522
ERR1308705.fastq;BBH;flower;lslovakia;eu_sub1;3.797
ERR1309338.fastq;BPQ;wine;malta;eu_sub1;2.571
ERR1309082.fastq;BQN;wine;slovenia;eu_sub1;2.782
ERR1308603.fastq;CBI;wine;exyugo;eu_sub1;2.846
ERR1308665.fastq;ACP;wine;russia;eu_sub1;3.415
