accession;centre;instrument;population;library;sex;sample;Gbases
SRR013219.fastq;WUGSC;454 GS FLX;AFR;2649556185;female;NA19143;0.375
SRR013229.fastq;WUGSC;454 GS FLX;AFR;2649556185;female;NA19143;0.306
SRR013230.fastq;WUGSC;454 GS FLX;AFR;2649556185;female;NA19143;0.341
SRR013231.fastq;WUGSC;unspecified;AFR;2485447780;female;NA19143;0.32
SRR013228.fastq;WUGSC;unspecified;EUR;2485447535;female;NA12249;0.354
SRR013226.fastq;WUGSC;unspecified;EUR;2485447535;female;NA12249;0.272
SRR013247.fastq;WUGSC;unspecified;AFR;2485447854;male;NA19141;0.317
SRR013248.fastq;WUGSC;unspecified;EAS;2485447652;male;NA18970;0.287
SRR013249.fastq;WUGSC;unspecified;EAS;2485447652;male;NA18970;0.267
SRR013234.fastq;WUGSC;unspecified;EAS;2485447652;male;NA18970;0.329
SRR013235.fastq;WUGSC;unspecified;EAS;2485447652;male;NA18970;0.283
SRR013244.fastq;WUGSC;unspecified;EAS;2485447652;male;NA18970;0.294
SRR013245.fastq;WUGSC;unspecified;EAS;2485447652;male;NA18970;0.237
SRR013240.fastq;WUGSC;unspecified;AFR;2685879458;male;NA19141;0.093
SRR013241.fastq;WUGSC;unspecified;AFR;2685879458;male;NA19141;0.265
SRR013238.fastq;WUGSC;unspecified;EUR;2485449128;female;NA11840;0.319
SRR013239.fastq;WUGSC;unspecified;EUR;2485449128;female;NA11840;0.327
SRR013242.fastq;WUGSC;unspecified;EUR;2677100742;female;NA12249;0.392
SRR013243.fastq;WUGSC;unspecified;EUR;2677100742;female;NA12249;0.349
SRR013232.fastq;WUGSC;unspecified;EUR;2677100742;female;NA12249;0.374
SRR013233.fastq;WUGSC;unspecified;EUR;2677100742;female;NA12249;0.366
SRR013227.fastq;WUGSC;unspecified;EUR;2677100742;female;NA12249;0.351
SRR013224.fastq;WUGSC;unspecified;EUR;2677100743;female;NA11840;0.34
SRR013225.fastq;WUGSC;unspecified;EUR;2677100743;female;NA11840;0.389
SRR013236.fastq;WUGSC;unspecified;EUR;2677100743;female;NA11840;0.332
SRR013237.fastq;WUGSC;unspecified;EUR;2677100743;female;NA11840;0.312
SRR013246.fastq;WUGSC;unspecified;EUR;2677100743;female;NA11840;0.38
SRR013218.fastq;WUGSC;454 GS FLX;AFR;2649556185;female;NA19143;0.35
SRR013214.fastq;WUGSC;454 GS FLX;AFR;2649556185;female;NA19143;0.35
SRR013215.fastq;WUGSC;454 GS FLX;AFR;2649556185;female;NA19143;0.326
SRR013216.fastq;WUGSC;unspecified;AFR;2485447780;female;NA19143;0.306
SRR013217.fastq;WUGSC;unspecified;AFR;2485447780;female;NA19143;0.321
SRR013201.fastq;WUGSC;unspecified;AFR;2485447780;female;NA19143;0.288
SRR013200.fastq;WUGSC;unspecified;EUR;2485447535;female;NA12249;0.268
SRR013220.fastq;WUGSC;unspecified;AFR;2485447854;male;NA19141;0.343
SRR013210.fastq;WUGSC;unspecified;AFR;2485447854;male;NA19141;0.356
SRR013211.fastq;WUGSC;unspecified;AFR;2485447854;male;NA19141;0.361
SRR013212.fastq;WUGSC;unspecified;AFR;2485447854;male;NA19141;0.344
SRR013213.fastq;WUGSC;unspecified;AFR;2485447854;male;NA19141;0.343
SRR013203.fastq;WUGSC;unspecified;EAS;2485447652;male;NA18970;0.317
SRR013205.fastq;WUGSC;unspecified;EUR;2677100742;female;NA12249;0.387
SRR013206.fastq;WUGSC;unspecified;EUR;2677100742;female;NA12249;0.399
SRR013202.fastq;WUGSC;unspecified;EUR;2677100742;female;NA12249;0.325
SRR013221.fastq;WUGSC;unspecified;EUR;2677100742;female;NA12249;0.366
SRR013222.fastq;WUGSC;unspecified;EUR;2677100742;female;NA12249;0.353
SRR013223.fastq;WUGSC;unspecified;EUR;2677100743;female;NA11840;0.369
SRR013204.fastq;WUGSC;unspecified;EUR;2677100743;female;NA11840;0.355
SRR013207.fastq;WUGSC;unspecified;EUR;2677100743;female;NA11840;0.304
SRR013208.fastq;WUGSC;unspecified;EAS;2677100652;male;NA18970;0.373
SRR013209.fastq;WUGSC;unspecified;EAS;2677100652;male;NA18970;0.41
