AvgSpotLen	BioSample	BioSampleModel	Center_Name	Coriell_panel	Coriell_plate	DATASTORE_filetype	DNA_ID	Ethnicity	Experiment	HapMap_sample_ID	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Platform	Population_Description	Race	ReleaseDate	Run	SRA_Sample	Sample_Name	Super_Population_Code	Super_Population_Description	actual_read_length	cell_line	cell_type	collection	culture_collection	family_id	family_role	notes	population	run	run_center	sex	tag	Assay_Type	AssemblyName	BioProject	Consent	DATASTORE_provider	LibrarySource	Organism	SRA_Study
36	SAMN00797044		WUGSC		HAPMAPPT01	sra	NA06994	UTAH/MORMON	SRX029886	NA06994	0	Illumina Genome Analyzer II	SINGLE	RANDOM	2485449083	2014-05-28	200	104	ILLUMINA	Utah Residents (CEPH) with Northern and Western European ancestry	Caucasian	2010-11-04	SRR070952	SRS000032	NA06994	EUR	European		GM06994	B-Lymphocyte	NIGMS Human Genetic Cell Repository	Coriell:GM06994	1340	paternal grandfather		CEU			male	International hapmap project - ceph (plate i) utah residents with ancestry from northern and western europe	WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
36	SAMN00797044		WUGSC		HAPMAPPT01	sra	NA06994	UTAH/MORMON	SRX029886	NA06994	0	Illumina Genome Analyzer II	SINGLE	RANDOM	2485449083	2014-05-28	185	100	ILLUMINA	Utah Residents (CEPH) with Northern and Western European ancestry	Caucasian	2010-11-04	SRR070953	SRS000032	NA06994	EUR	European		GM06994	B-Lymphocyte	NIGMS Human Genetic Cell Repository	Coriell:GM06994	1340	paternal grandfather		CEU			male	International hapmap project - ceph (plate i) utah residents with ancestry from northern and western europe	WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
36	SAMN00797044		WUGSC		HAPMAPPT01	sra	NA06994	UTAH/MORMON	SRX029886	NA06994	0	Illumina Genome Analyzer II	SINGLE	RANDOM	2485449083	2014-05-28	155	102	ILLUMINA	Utah Residents (CEPH) with Northern and Western European ancestry	Caucasian	2010-11-04	SRR070957	SRS000032	NA06994	EUR	European		GM06994	B-Lymphocyte	NIGMS Human Genetic Cell Repository	Coriell:GM06994	1340	paternal grandfather		CEU			male	International hapmap project - ceph (plate i) utah residents with ancestry from northern and western europe	WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
36	SAMN00797044		WUGSC		HAPMAPPT01	sra	NA06994	UTAH/MORMON	SRX029886	NA06994	0	Illumina Genome Analyzer II	SINGLE	RANDOM	2485449083	2014-05-28	161	103	ILLUMINA	Utah Residents (CEPH) with Northern and Western European ancestry	Caucasian	2010-11-04	SRR070958	SRS000032	NA06994	EUR	European		GM06994	B-Lymphocyte	NIGMS Human Genetic Cell Repository	Coriell:GM06994	1340	paternal grandfather		CEU			male	International hapmap project - ceph (plate i) utah residents with ancestry from northern and western europe	WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
36	SAMN00797044		WUGSC		HAPMAPPT01	sra	NA06994	UTAH/MORMON	SRX029886	NA06994	0	Illumina Genome Analyzer II	SINGLE	RANDOM	2485449083	2014-05-28	119	88	ILLUMINA	Utah Residents (CEPH) with Northern and Western European ancestry	Caucasian	2010-11-04	SRR070959	SRS000032	NA06994	EUR	European		GM06994	B-Lymphocyte	NIGMS Human Genetic Cell Repository	Coriell:GM06994	1340	paternal grandfather		CEU			male	International hapmap project - ceph (plate i) utah residents with ancestry from northern and western europe	WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
35	SAMN00800258		WUGSC		HAPMAPPT01	sra	NA10847	UTAH/MORMON	SRX029896	NA10847	0	Illumina Genome Analyzer II	SINGLE	RANDOM	2485447673	2014-05-28	298	188	ILLUMINA	Utah Residents (CEPH) with Northern and Western European ancestry	Caucasian	2010-11-02	SRR071005	SRS000039	NA10847	EUR	European		GM10847	B-Lymphocyte	NIGMS Human Genetic Cell Repository	Coriell:GM10847	1334	mother		CEU			female	International hapmap project - ceph (plate i) utah residents with ancestry from northern and western europe	WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
35	SAMN00800258		WUGSC		HAPMAPPT01	sra	NA10847	UTAH/MORMON	SRX029896	NA10847	0	Illumina Genome Analyzer II	SINGLE	RANDOM	2485447673	2014-05-28	302	186	ILLUMINA	Utah Residents (CEPH) with Northern and Western European ancestry	Caucasian	2010-11-02	SRR071006	SRS000039	NA10847	EUR	European		GM10847	B-Lymphocyte	NIGMS Human Genetic Cell Repository	Coriell:GM10847	1334	mother		CEU			female	International hapmap project - ceph (plate i) utah residents with ancestry from northern and western europe	WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
35	SAMN00800258		WUGSC		HAPMAPPT01	sra	NA10847	UTAH/MORMON	SRX029896	NA10847	0	Illumina Genome Analyzer II	SINGLE	RANDOM	2485447673	2014-05-28	297	187	ILLUMINA	Utah Residents (CEPH) with Northern and Western European ancestry	Caucasian	2010-11-02	SRR071007	SRS000039	NA10847	EUR	European		GM10847	B-Lymphocyte	NIGMS Human Genetic Cell Repository	Coriell:GM10847	1334	mother		CEU			female	International hapmap project - ceph (plate i) utah residents with ancestry from northern and western europe	WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
35	SAMN00801648		WUGSC		HAPMAPPT01	sra	NA12717	UTAH/MORMON	SRX029885	NA12717	0	Illumina Genome Analyzer II	SINGLE	RANDOM	2485449254	2014-05-28	277	180	ILLUMINA	Utah Residents (CEPH) with Northern and Western European ancestry	Caucasian	2010-11-02	SRR070962	SRS000073	NA12717	EUR	European		GM12717	B-Lymphocyte	NIGMS Human Genetic Cell Repository	Coriell:GM12717	1358	paternal grandmother		CEU			female	International hapmap project - ceph (plate i) utah residents with ancestry from northern and western europe	WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
35	SAMN00801648		WUGSC		HAPMAPPT01	sra	NA12717	UTAH/MORMON	SRX029885	NA12717	0	Illumina Genome Analyzer II	SINGLE	RANDOM	2485449254	2014-05-28	294	188	ILLUMINA	Utah Residents (CEPH) with Northern and Western European ancestry	Caucasian	2010-11-02	SRR070963	SRS000073	NA12717	EUR	European		GM12717	B-Lymphocyte	NIGMS Human Genetic Cell Repository	Coriell:GM12717	1358	paternal grandmother		CEU			female	International hapmap project - ceph (plate i) utah residents with ancestry from northern and western europe	WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
35	SAMN00801648		WUGSC		HAPMAPPT01	sra	NA12717	UTAH/MORMON	SRX029885	NA12717	0	Illumina Genome Analyzer II	SINGLE	RANDOM	2485449254	2014-05-28	295	199	ILLUMINA	Utah Residents (CEPH) with Northern and Western European ancestry	Caucasian	2010-11-02	SRR070964	SRS000073	NA12717	EUR	European		GM12717	B-Lymphocyte	NIGMS Human Genetic Cell Repository	Coriell:GM12717	1358	paternal grandmother		CEU			female	International hapmap project - ceph (plate i) utah residents with ancestry from northern and western europe	WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
35	SAMN00801648		WUGSC		HAPMAPPT01	sra	NA12717	UTAH/MORMON	SRX029885	NA12717	0	Illumina Genome Analyzer II	SINGLE	RANDOM	2485449254	2014-05-28	263	190	ILLUMINA	Utah Residents (CEPH) with Northern and Western European ancestry	Caucasian	2010-11-02	SRR070965	SRS000073	NA12717	EUR	European		GM12717	B-Lymphocyte	NIGMS Human Genetic Cell Repository	Coriell:GM12717	1358	paternal grandmother		CEU			female	International hapmap project - ceph (plate i) utah residents with ancestry from northern and western europe	WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
35	SAMN00801648		WUGSC		HAPMAPPT01	sra	NA12717	UTAH/MORMON	SRX029885	NA12717	0	Illumina Genome Analyzer II	SINGLE	RANDOM	2485449254	2014-05-28	210	154	ILLUMINA	Utah Residents (CEPH) with Northern and Western European ancestry	Caucasian	2010-11-02	SRR070966	SRS000073	NA12717	EUR	European		GM12717	B-Lymphocyte	NIGMS Human Genetic Cell Repository	Coriell:GM12717	1358	paternal grandmother		CEU			female	International hapmap project - ceph (plate i) utah residents with ancestry from northern and western europe	WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
35	SAMN00801648		WUGSC		HAPMAPPT01	sra	NA12717	UTAH/MORMON	SRX029885	NA12717	0	Illumina Genome Analyzer II	SINGLE	RANDOM	2485449254	2014-05-28	218	149	ILLUMINA	Utah Residents (CEPH) with Northern and Western European ancestry	Caucasian	2010-11-02	SRR070967	SRS000073	NA12717	EUR	European		GM12717	B-Lymphocyte	NIGMS Human Genetic Cell Repository	Coriell:GM12717	1358	paternal grandmother		CEU			female	International hapmap project - ceph (plate i) utah residents with ancestry from northern and western europe	WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
35	SAMN00801684		WUGSC		HAPMAPPT01	sra	NA12751	UTAH/MORMON	SRX029889	NA12751	0	Illumina Genome Analyzer II	SINGLE	RANDOM	2485447533	2014-05-28	289	182	ILLUMINA	Utah Residents (CEPH) with Northern and Western European ancestry	Caucasian	2010-11-02	SRR070974	SRS000076	NA12751	EUR	European		GM12751	B-Lymphocyte	NIGMS Human Genetic Cell Repository	Coriell:GM12751	1444	maternal grandmother		CEU			female	International hapmap project - ceph (plate i) utah residents with ancestry from northern and western europe	WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
35	SAMN00801684		WUGSC		HAPMAPPT01	sra	NA12751	UTAH/MORMON	SRX029889	NA12751	0	Illumina Genome Analyzer II	SINGLE	RANDOM	2485447533	2014-05-28	191	82	ILLUMINA	Utah Residents (CEPH) with Northern and Western European ancestry	Caucasian	2010-11-02	SRR071000	SRS000076	NA12751	EUR	European		GM12751	B-Lymphocyte	NIGMS Human Genetic Cell Repository	Coriell:GM12751	1444	maternal grandmother		CEU			female	International hapmap project - ceph (plate i) utah residents with ancestry from northern and western europe	WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
35	SAMN00001661	HapMap	WUGSC	MGP00009	HAPMAPPT02	sra	NA18981		SRX029893	NA18981	0	Illumina Genome Analyzer II	SINGLE	RANDOM	2485447519	2014-05-28	178	91	ILLUMINA	Japanese in Tokyo, Japan		2010-11-02	SRR070995	SRS000179	NA18981	EAS	East Asian					Coriell:GM18981				JPT			female		WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
35	SAMN00001661	HapMap	WUGSC	MGP00009	HAPMAPPT02	sra	NA18981		SRX029893	NA18981	0	Illumina Genome Analyzer II	SINGLE	RANDOM	2485447519	2014-05-28	184	90	ILLUMINA	Japanese in Tokyo, Japan		2010-11-02	SRR070997	SRS000179	NA18981	EAS	East Asian					Coriell:GM18981				JPT			female		WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
35	SAMN00001661	HapMap	WUGSC	MGP00009	HAPMAPPT02	sra	NA18981		SRX029893	NA18981	0	Illumina Genome Analyzer II	SINGLE	RANDOM	2485447519	2014-05-28	255	144	ILLUMINA	Japanese in Tokyo, Japan		2010-11-02	SRR070999	SRS000179	NA18981	EAS	East Asian					Coriell:GM18981				JPT			female		WGS		PRJNA28911	public	ncbi	GENOMIC	Homo sapiens	SRP000031
