AssemblyName	AvgSpotLen	BioSample	DATASTORE_filetype	DATASTORE_provider	Experiment	HGDP_CEPH_Database_Link	InsertSize	Library_Name	LoadDate	MBases	MBytes	ReleaseDate	Run	SRA_Sample	Sample_Name	Sex	Species	unknown	Assay_Type	BioProject	Center_Name	Consent	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	SRA_Study
GCF_000001405.29	302	SAMEA2581086	sra	ncbi	ERX1673216	http://www.cephb.fr/common/HGDPid_populations.xls	485	15362678	2016-09-29	12172	3039	2016-09-30	ERR1602649	ERS474326	SAMEA2581086 ERS474326	male	Homo Sapien	strain	WGS	PRJEB6463	THE WELLCOME TRUST SANGER INSTITUTE	public	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ERP006001
GCF_000001405.29	302	SAMEA2581097	sra	ncbi	ERX1673217	http://www.cephb.fr/common/HGDPid_populations.xls	475	15362679	2016-09-29	12315	3046	2016-09-30	ERR1602650	ERS474337	SAMEA2581097 ERS474337	male	Homo Sapien	strain	WGS	PRJEB6463	THE WELLCOME TRUST SANGER INSTITUTE	public	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ERP006001
GCF_000001405.29	302	SAMEA2581105	sra	ncbi	ERX1673218	http://www.cephb.fr/common/HGDPid_populations.xls	477	15362680	2016-09-29	10218	2500	2016-09-30	ERR1602651	ERS474345	SAMEA2581105 ERS474345	male	Homo Sapien	Sample Description	WGS	PRJEB6463	THE WELLCOME TRUST SANGER INSTITUTE	public	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ERP006001
GCF_000001405.29	302	SAMEA2581118	sra	ncbi	ERX1673219	http://www.cephb.fr/common/HGDPid_populations.xls	469	15362681	2016-09-29	10306	2505	2016-09-30	ERR1602652	ERS474358	SAMEA2581118 ERS474358	male	Homo Sapien	Sample Description	WGS	PRJEB6463	THE WELLCOME TRUST SANGER INSTITUTE	public	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ERP006001
GCF_000001405.29	302	SAMEA2581128	sra	ncbi	ERX1673220	http://www.cephb.fr/common/HGDPid_populations.xls	470	15362682	2016-09-29	9523	2302	2016-09-30	ERR1602653	ERS474368	SAMEA2581128 ERS474368	female	Homo Sapien	strain	WGS	PRJEB6463	THE WELLCOME TRUST SANGER INSTITUTE	public	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ERP006001
GCF_000001405.29	302	SAMEA2581136	sra	ncbi	ERX1673221	http://www.cephb.fr/common/HGDPid_populations.xls	460	15362683	2016-09-29	10634	2519	2016-09-30	ERR1602654	ERS474376	SAMEA2581136 ERS474376	female	Homo Sapien	strain	WGS	PRJEB6463	THE WELLCOME TRUST SANGER INSTITUTE	public	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ERP006001
GCF_000001405.29	302	SAMEA2581151	sra	ncbi	ERX1673222	http://www.cephb.fr/common/HGDPid_populations.xls	462	15362684	2016-09-29	10854	2602	2016-09-30	ERR1602655	ERS474391	SAMEA2581151 ERS474391	male	Homo Sapien	Sample Description	WGS	PRJEB6463	THE WELLCOME TRUST SANGER INSTITUTE	public	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ERP006001
GCF_000001405.29	302	SAMEA2581164	sra	ncbi	ERX1673223	http://www.cephb.fr/common/HGDPid_populations.xls	459	15362685	2016-09-29	10570	2512	2016-09-30	ERR1602656	ERS474404	SAMEA2581164 ERS474404	male	Homo Sapien	Sample Description	WGS	PRJEB6463	THE WELLCOME TRUST SANGER INSTITUTE	public	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ERP006001
GCF_000001405.29	302	SAMEA2581033	sra	ncbi	ERX1673224	http://www.cephb.fr/common/HGDPid_populations.xls	483	15362674	2016-09-29	14157	3409	2016-09-30	ERR1602657	ERS474273	SAMEA2581033 ERS474273	male	Homo Sapien	strain	WGS	PRJEB6463	THE WELLCOME TRUST SANGER INSTITUTE	public	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ERP006001
GCF_000001405.29	302	SAMEA2581042	sra	ncbi	ERX1673225	http://www.cephb.fr/common/HGDPid_populations.xls	465	15362675	2016-09-29	10326	2476	2016-09-30	ERR1602658	ERS474282	SAMEA2581042 ERS474282	female	Homo Sapien	strain	WGS	PRJEB6463	THE WELLCOME TRUST SANGER INSTITUTE	public	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ERP006001
GCF_000001405.29	302	SAMEA2581062	sra	ncbi	ERX1673226	http://www.cephb.fr/common/HGDPid_populations.xls	469	15362676	2016-09-29	11467	2735	2016-09-30	ERR1602659	ERS474302	SAMEA2581062 ERS474302	female	Homo Sapien	strain	WGS	PRJEB6463	THE WELLCOME TRUST SANGER INSTITUTE	public	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ERP006001
GCF_000001405.29	302	SAMEA2581071	sra	ncbi	ERX1673227	http://www.cephb.fr/common/HGDPid_populations.xls	459	15362677	2016-09-29	10897	2568	2016-09-30	ERR1602660	ERS474311	SAMEA2581071 ERS474311	male	Homo Sapien	strain	WGS	PRJEB6463	THE WELLCOME TRUST SANGER INSTITUTE	public	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ERP006001
GCF_000001405.29	302	SAMEA2581086	sra	ncbi	ERX1673228	http://www.cephb.fr/common/HGDPid_populations.xls	481	15362678	2016-09-29	11920	2918	2016-09-30	ERR1602661	ERS474326	SAMEA2581086 ERS474326	male	Homo Sapien	strain	WGS	PRJEB6463	THE WELLCOME TRUST SANGER INSTITUTE	public	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ERP006001
GCF_000001405.29	302	SAMEA2581097	sra	ncbi	ERX1673229	http://www.cephb.fr/common/HGDPid_populations.xls	469	15362679	2016-09-29	12633	3075	2016-09-30	ERR1602662	ERS474337	SAMEA2581097 ERS474337	male	Homo Sapien	strain	WGS	PRJEB6463	THE WELLCOME TRUST SANGER INSTITUTE	public	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ERP006001
GCF_000001405.29	302	SAMEA2581105	sra	ncbi	ERX1673230	http://www.cephb.fr/common/HGDPid_populations.xls	469	15362680	2016-09-29	10386	2500	2016-09-30	ERR1602663	ERS474345	SAMEA2581105 ERS474345	male	Homo Sapien	Sample Description	WGS	PRJEB6463	THE WELLCOME TRUST SANGER INSTITUTE	public	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ERP006001
GCF_000001405.29	302	SAMEA2581118	sra	ncbi	ERX1673231	http://www.cephb.fr/common/HGDPid_populations.xls	463	15362681	2016-09-29	10528	2519	2016-09-30	ERR1602664	ERS474358	SAMEA2581118 ERS474358	male	Homo Sapien	Sample Description	WGS	PRJEB6463	THE WELLCOME TRUST SANGER INSTITUTE	public	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ERP006001
GCF_000001405.29	302	SAMEA2581128	sra	ncbi	ERX1673232	http://www.cephb.fr/common/HGDPid_populations.xls	465	15362682	2016-09-29	9750	2320	2016-09-30	ERR1602665	ERS474368	SAMEA2581128 ERS474368	female	Homo Sapien	strain	WGS	PRJEB6463	THE WELLCOME TRUST SANGER INSTITUTE	public	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ERP006001
GCF_000001405.29	302	SAMEA2581136	sra	ncbi	ERX1673233	http://www.cephb.fr/common/HGDPid_populations.xls	455	15362683	2016-09-29	10842	2527	2016-09-30	ERR1602666	ERS474376	SAMEA2581136 ERS474376	female	Homo Sapien	strain	WGS	PRJEB6463	THE WELLCOME TRUST SANGER INSTITUTE	public	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ERP006001
GCF_000001405.29	302	SAMEA2581151	sra	ncbi	ERX1673234	http://www.cephb.fr/common/HGDPid_populations.xls	455	15362684	2016-09-29	11009	2600	2016-09-30	ERR1602667	ERS474391	SAMEA2581151 ERS474391	male	Homo Sapien	Sample Description	WGS	PRJEB6463	THE WELLCOME TRUST SANGER INSTITUTE	public	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ERP006001
GCF_000001405.29	302	SAMEA2581164	sra	ncbi	ERX1673235	http://www.cephb.fr/common/HGDPid_populations.xls	449	15362685	2016-09-29	10805	2527	2016-09-30	ERR1602668	ERS474404	SAMEA2581164 ERS474404	male	Homo Sapien	Sample Description	WGS	PRJEB6463	THE WELLCOME TRUST SANGER INSTITUTE	public	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ERP006001
