AvgSpotLen	BioSample	ENA_FIRST_PUBLIC	ENA_LAST_UPDATE	Experiment	InsertSize	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study
198	SAMEA3895182	2018-02-20	2016-03-14 2016-03-28	ERX1380749	345	BCM_ASGOSW_r2	3564	2518	ERR1308592	ERS1082316	sample_BCM_4932_YJS3134,CBS1489	WGS	PRJEB13017	GSC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2018-02-21	Saccharomyces cerevisiae	ILLUMINA	2018-02-21	ERP014555
197	SAMEA3895569	2018-02-20	2016-03-14 2016-03-28	ERX1380723	548	BCM_CBIOSW_r1	2846	2040	ERR1308603	ERS1082703	sample_BCM_4932_OS_1461	WGS	PRJEB13017	GSC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2018-02-21	Saccharomyces cerevisiae	ILLUMINA	2018-02-21	ERP014555
200	SAMEA3894942	2018-02-20	2016-03-14 2016-03-28	ERX1380680	357	BCM_ACMOSW_r1	3169	2079	ERR1308607	ERS1082076	sample_BCM_4932_YJS1338,Y9_4	WGS	PRJEB13017	GSC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2018-02-21	Saccharomyces cerevisiae	ILLUMINA	2018-02-21	ERP014555
200	SAMEA3894928	2018-02-20	2016-03-14 2016-03-28	ERX1380887	365	BCM_ABROSW_r1	2638	1720	ERR1308614	ERS1082062	sample_BCM_4932_YJS1323,DBVPG1794_1b	WGS	PRJEB13017	GSC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2018-02-21	Saccharomyces cerevisiae	ILLUMINA	2018-02-21	ERP014555
199	SAMEA3894944	2018-02-20	2016-03-14 2016-03-28	ERX1380548	353	BCM_ACPOSW_r1	3415	2253	ERR1308665	ERS1082078	sample_BCM_4932_YJS1340,CLIB154_1b	WGS	PRJEB13017	GSC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2018-02-21	Saccharomyces cerevisiae	ILLUMINA	2018-02-21	ERP014555
198	SAMEA3895595	2018-02-20	2016-03-14 2016-03-28	ERX1380598	560	BCM_CDEOSW_r1	2915	1971	ERR1308715	ERS1082729	sample_BCM_4932_YJS4713,N39-7A	WGS	PRJEB13017	GSC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2018-02-21	Saccharomyces cerevisiae	ILLUMINA	2018-02-21	ERP014555
198	SAMEA3895448	2018-02-20	2016-03-14 2016-03-28	ERX1380728	525	BCM_BNLOSW_r1	3346	2310	ERR1308681	ERS1082582	sample_BCM_4932_OS_1227	WGS	PRJEB13017	GSC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2018-02-21	Saccharomyces cerevisiae	ILLUMINA	2018-02-21	ERP014555
199	SAMEA3895046	2018-02-20	2016-03-14 2016-03-28	ERX1380898	373	BCM_AIEOSW_r1	3012	1982	ERR1308671	ERS1082180	sample_BCM_4932_YJS3467,CBS2910	WGS	PRJEB13017	GSC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2018-02-21	Saccharomyces cerevisiae	ILLUMINA	2018-02-21	ERP014555
199	SAMEA3895246	2018-02-20	2016-03-14 2016-03-28	ERX1381021	331	BCM_BBHOSW_r1	3797	2482	ERR1308705	ERS1082380	sample_BCM_4932_OS_670	WGS	PRJEB13017	GSC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2018-02-21	Saccharomyces cerevisiae	ILLUMINA	2018-02-21	ERP014555
199	SAMEA3895649	2018-02-20	2016-03-14 2016-03-28	ERX1381080	463	BCM_CGEOSW_r1	2946	1882	ERR1308720	ERS1082783	sample_BCM_4932_YJS4972,UCD11-601	WGS	PRJEB13017	GSC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2018-02-21	Saccharomyces cerevisiae	ILLUMINA	2018-02-21	ERP014555
