accession;CATTCx10;GGAATx10;ATTCCx11;ATTCCx10;GAATGx10;AATGGx10
SRR7171680.fastq;22803;23512;25221;23419;23110;23197
SRR7171678.fastq;20409;24683;25611;24271;22840;23070
SRR7171682.fastq;39295;38637;43039;40593;41300;41438
SRR7171675.fastq;73994;83809;91139;84947;81204;75662
ERR1602651.fastq;180895;181911;192399;182320;181329;182006
SRR7171668.fastq;118024;118435;127850;119197;118002;118948
ERR251402.fastq;795137;797962;856031;803241;795343;797402
ERR1602656.fastq;190721;191981;203008;192730;191324;191998
SRR7171662.fastq;23088;23073;25105;23537;22799;23401
ERR1602666.fastq;122759;123420;130455;123738;123090;123366
ERR251347.fastq;792479;795773;853361;801619;792646;795131
SRR7171677.fastq;119877;120213;128892;120781;119041;120351
ERR251379.fastq;1111226;1115942;1196739;1124555;1111862;1115611
SRR7171666.fastq;95502;98099;97625;97773;93128;96366
ERR251346.fastq;799171;802411;860438;807972;799227;801396
ERR251404.fastq;921405;925412;992516;931818;921849;925172
ERR251327.fastq;523369;525522;563645;529263;523617;525065
ERR251377.fastq;788787;791623;849154;796824;789041;791373
ERR1602661.fastq;177726;178699;188979;179081;178179;178781
SRR7171663.fastq;87471;73873;85776;87581;85406;86164
ERR1602667.fastq;150316;150999;159797;151520;150643;151199
ERR1602655.fastq;154714;155447;164426;155915;155075;155597
ERR251380.fastq;1102506;1106925;1187499;1115767;1102933;1106979
SRR7171683.fastq;32082;31143;34788;32128;31004;32200
ERR1602658.fastq;195168;196257;207586;196681;195639;196361
ERR1602660.fastq;164428;165276;174833;165675;164858;165498
SRR7171665.fastq;101814;103333;111668;103939;103013;103296
ERR1602650.fastq;171363;172403;182222;172863;171788;172418
ERR251403.fastq;796250;799870;853097;806569;796237;799671
ERR251325.fastq;694357;697567;743915;703038;694862;697411
ERR1602664.fastq;198972;199907;211472;200451;199351;200084
ERR1602649.fastq;180722;181715;192148;182183;181124;181783
SRR7171664.fastq;81993;82315;88884;82815;81831;82429
ERR1602663.fastq;174043;174998;185124;175527;174432;175184
ERR251342.fastq;793678;796875;854552;802016;794162;796276
SRR7171674.fastq;123567;123539;133112;124134;123355;123891
ERR1602653.fastq;122269;123118;130069;123617;122556;122979
ERR251401.fastq;795631;798274;856505;803378;795530;797494
SRR7171676.fastq;93206;93414;100616;94922;93284;93747
ERR1602657.fastq;182650;183652;194308;184159;183147;183800
ERR251326.fastq;700266;703569;750257;708957;700775;703253
SRR7171672.fastq;66193;64818;71237;67129;68519;68793
ERR251348.fastq;782693;785885;842915;791734;782856;785162
ERR251378.fastq;786901;789732;847237;795023;787120;789547
ERR251328.fastq;518981;520921;558738;524574;519027;520631
SRR7171661.fastq;20354;20677;22415;21205;20428;20743
SRR7171669.fastq;124209;124938;134673;125796;124499;124995
ERR1602654.fastq;127387;128039;135437;128679;127737;127932
ERR1602668.fastq;186242;187338;198012;188096;186602;187250
ERR251344.fastq;647653;649992;697375;654395;647926;649258
ERR251329.fastq;731681;734356;787809;739685;732076;734412
ERR251343.fastq;659383;661635;709982;666143;659620;661031
ERR1602652.fastq;203796;204853;216625;205395;204342;204839
SRR7171671.fastq;67484;77705;84107;76771;74634;77752
SRR7171667.fastq;115411;115810;124094;116326;115390;116033
SRR7171673.fastq;118494;118039;127611;119411;117678;118695
ERR251345.fastq;789802;793072;850874;798404;790051;792113
SRR7171679.fastq;23190;23658;26119;24851;23483;24276
SRR7171670.fastq;137385;136760;148022;138172;136877;137679
ERR1602662.fastq;165590;166593;176182;167124;166010;166666
ERR1602665.fastq;120289;120877;127812;121367;120522;120800
ERR1602659.fastq;159285;160447;169433;160752;159718;160139
