accession;ATTCCx2;AATGGx2
SRR7171680.fastq;8566;8971
SRR7171678.fastq;7859;8456
SRR7171682.fastq;11754;12155
SRR7171675.fastq;23764;22919
ERR1602651.fastq;145827;156308
SRR7171668.fastq;41720;41784
ERR251402.fastq;504810;477829
ERR1602656.fastq;154862;164712
SRR7171662.fastq;9363;9747
ERR1602666.fastq;98018;105880
ERR251347.fastq;502876;476284
SRR7171677.fastq;42256;42365
ERR251379.fastq;704904;669445
SRR7171666.fastq;27754;29177
ERR251346.fastq;507361;481876
ERR251404.fastq;584671;555301
ERR251327.fastq;332190;309752
ERR251377.fastq;500892;473770
ERR1602661.fastq;142964;153541
SRR7171663.fastq;28016;28436
ERR1602667.fastq;123433;129861
ERR1602655.fastq;126693;133571
ERR251380.fastq;699608;665981
SRR7171683.fastq;10817;11071
ERR1602658.fastq;157502;168700
ERR1602660.fastq;136057;142138
SRR7171665.fastq;29663;29399
ERR1602650.fastq;139200;148021
ERR251403.fastq;581511;552756
ERR251325.fastq;507313;477361
ERR1602664.fastq;158500;171857
ERR1602649.fastq;145859;156078
SRR7171664.fastq;31562;31953
ERR1602663.fastq;141152;150374
ERR251342.fastq;503766;475997
SRR7171674.fastq;43669;43805
ERR1602653.fastq;99240;105511
ERR251401.fastq;505034;478831
SRR7171676.fastq;59415;56928
ERR1602657.fastq;150131;157821
ERR251326.fastq;511399;483965
SRR7171672.fastq;21427;21328
ERR251348.fastq;496674;471170
ERR251378.fastq;499590;474237
ERR251328.fastq;329213;306184
SRR7171661.fastq;7455;8063
SRR7171669.fastq;39142;39388
ERR1602654.fastq;101765;109888
ERR1602668.fastq;150459;160795
ERR251344.fastq;410961;380006
ERR251329.fastq;464221;437643
ERR251343.fastq;418273;386213
ERR1602652.fastq;162145;176035
SRR7171671.fastq;22491;22766
SRR7171667.fastq;40547;40747
SRR7171673.fastq;41797;41919
ERR251345.fastq;501696;478949
SRR7171679.fastq;7092;7235
SRR7171670.fastq;43039;42971
ERR1602662.fastq;135607;143069
ERR1602665.fastq;97021;103759
ERR1602659.fastq;126294;137477
